,count,zip
1171,10,95817.0
1172,4,95818.0
1173,7,95819.0
1174,7,95820.0
1175,10,95821.0
1176,10,95822.0
1177,18,95823.0
1178,1,95824.0
1179,25,95825.0
1180,21,95826.0
1181,6,95827.0
1182,5,95828.0
1183,1,95829.0
1184,8,95831.0
1185,1,95832.0
1186,10,95833.0
1187,5,95834.0
1188,4,95835.0
1189,3,95838.0
1190,9,95841.0
1191,8,95842.0
1192,6,95843.0
1193,3,95864.0
1194,17,95901.0
1195,3,95903.0
1196,1,95917.0
1197,2,95919.0
1198,2,95923.0
1199,20,95926.0
1200,17,95928.0
1201,4,95929.0
1202,1,95932.0
1203,1,95938.0
1204,13,95945.0
1205,1,95946.0
1206,5,95948.0
1207,3,95949.0
1208,1,95953.0
1209,2,95959.0
1210,3,95961.0
1211,1,95962.0
1212,6,95963.0
1213,5,95965.0
1214,7,95966.0
1215,8,95969.0
1216,1,95971.0
1217,4,95973.0
1218,3,95987.0
1219,4,95988.0
1220,18,95991.0
1221,10,95993.0
1222,17,96001.0
1223,8,96002.0
1224,10,96003.0
1225,6,96007.0
1226,2,96013.0
1227,2,96019.0
1228,2,96020.0
1229,4,96021.0
1230,2,96022.0
1231,2,96027.0
1232,2,96028.0
1233,2,96032.0
1234,1,96040.0
1235,1,96041.0
1236,3,96067.0
1237,1,96070.0
1238,2,96073.0
1239,7,96080.0
1240,3,96093.0
1241,2,96094.0
1242,1,96097.0
1243,1,96113.0
1244,8,96130.0
1245,2,96140.0
1246,3,96143.0
1247,5,96145.0
1248,2,96146.0
1249,12,96150.0
1250,3,96158.0
1251,11,96161.0
1252,1,96212.0
1253,1,934010.0
1254,1,945205649.0
